Price,Close,High,Low,Open,Volume,MA10,RSI,MACD,Signal
Ticker,WMT,WMT,WMT,WMT,WMT,,,,
Date,,,,,,,,,
2018-05-15,25.202730178833008,25.310078104503365,24.988036033729692,25.065565754695047,27968700,25.23045654296875,41.931664170754715,-0.26576548690075086,-0.22400921163139306
2018-05-16,25.682809829711914,25.682809829711914,25.26833236346396,25.307096369390575,41200800,25.240312385559083,45.46475561593427,-0.21331242379278237,-0.22186985406367093
2018-05-17,25.19378662109375,26.11816463661257,25.002947376921473,25.954161094753626,89162100,25.20452537536621,42.42727904281406,-0.2087962066743927,-0.2192551245858153
2018-05-18,24.940324783325195,25.178875525900335,24.895597478850835,25.119237413697228,36129300,25.104870414733888,35.35616298799616,-0.2230975939201585,-0.22002361845268395
2018-05-21,25.199748992919922,25.208694795440742,24.994000653653163,25.08942027222542,32147100,25.092200088500977,41.826721809363065,-0.21106515303199203,-0.21823192536854558
2018-05-22,24.859819412231445,25.28920773698251,24.8359627990633,25.196770612465453,24201900,25.03753604888916,41.60508436888993,-0.2263496157183269,-0.21985546343850185
2018-05-23,24.752471923828125,24.755452720849693,24.50199454342568,24.734580316748474,28197600,25.051551055908202,40.89654683942971,-0.24430847170454228,-0.22474606509170994
2018-05-24,24.704763412475586,24.74949243253452,24.38570379641835,24.74949243253452,25728600,25.056322288513183,34.79607548335075,-0.2594004655144069,-0.23167694517624934
2018-05-25,24.588468551635742,24.85087251633647,24.54672203978308,24.70476057797088,17740500,25.028889465332032,39.62871865691966,-0.2775456294436651,-0.2408506820297325
2018-05-29,24.57057762145996,24.606359128148203,24.39464747246256,24.439374782382234,25284600,24.969550132751465,38.04415970038582,-0.29002620952256564,-0.2506857875282991
2018-05-30,25.083454132080078,25.11625483552949,24.52882638225892,24.585481987649977,27942300,24.957622528076172,57.32836091010773,-0.2555860738708411,-0.25166584479680754
2018-05-31,24.612321853637695,25.140112288308398,24.603376050615104,25.029783561425532,34406100,24.85057373046875,49.38573059318868,-0.26327360149670653,-0.25398739613678734
2018-06-01,24.746503829956055,24.874724145460345,24.704757323602678,24.761412930888568,15713700,24.80584545135498,48.37092062182412,-0.25559234894460303,-0.2543083866983505
2018-06-04,25.47109603881836,25.500914239893035,24.83894027985957,24.898576682008922,32766000,24.8589225769043,53.84608035251078,-0.1888593127743725,-0.2412185719135549
2018-06-05,25.23255157470703,25.4860097420903,25.12222113957829,25.48004644204584,24844200,24.862202835083007,50.355652751890176,-0.15345254011683807,-0.22366536555421154
2018-06-06,25.21466064453125,25.39059079734206,25.152041726791392,25.330954382823165,22088400,24.89768695831299,43.72504475262956,-0.12539064098188746,-0.20401042063974675
2018-06-07,25.330951690673828,25.572481532538358,25.25342197130649,25.280259378730264,23117100,24.95553493499756,52.042626050086014,-0.09269909078806648,-0.18174815466941072
2018-06-08,25.15502166748047,25.40251651624428,25.08942025320244,25.28025949020226,22807200,25.000560760498047,53.27278341415249,-0.080063956836387,-0.16141131510280599
2018-06-11,25.13712501525879,25.208689714764503,24.985049815529525,25.169925715811868,18756900,25.055426406860352,48.96949442360047,-0.07067987876843773,-0.14326502783593234
2018-06-12,25.077486038208008,25.223597934443426,24.889629348394156,25.143087437026928,24185100,25.106117248535156,53.94578521540696,-0.06727973738286153,-0.1280679697453182
2018-06-13,25.074514389038086,25.158005712888304,25.002949665921786,25.014876266655712,19075200,25.10522327423096,56.06747847635831,-0.06408614292757164,-0.1152716043817689
2018-06-14,24.98505401611328,25.28920446670676,24.9492708072259,25.113274337564203,22552200,25.142496490478514,55.19905297442026,-0.06799015259987584,-0.1058153140253903
2018-06-15,24.958219528198242,25.04469505770989,24.767380275113933,24.89858140849064,37509000,25.163668060302733,57.09386371420792,-0.07241467599334328,-0.09913518641898089
2018-06-18,24.749494552612305,24.91945972468276,24.69581972394372,24.764401952258737,25506900,25.09150791168213,53.198410273755876,-0.09170636985555092,-0.0976494231062949
2018-06-19,24.931385040283203,24.934365837359543,24.561633116284533,24.630215336366703,28057500,25.061391258239745,46.91666073677143,-0.09126607549059429,-0.0963727535831548
2018-06-20,24.931385040283203,24.994003959975096,24.797199690957612,24.96120324847218,23899800,25.033063697814942,57.997179395243215,-0.08988104628168969,-0.09507441212286179
2018-06-21,25.110294342041016,25.211677266949625,24.71967003928176,24.868762776645887,24276000,25.01099796295166,58.9182895751993,-0.07349965691760474,-0.09075946108181039
2018-06-22,25.292186737060547,25.30113253980366,25.077492589938014,25.184840516617985,32439000,25.024714469909668,44.023909459042756,-0.04531769747788417,-0.08167110836102516
2018-06-25,25.784196853637695,25.822960863175044,25.190804991809294,25.223605701318775,47818500,25.089421653747557,65.75821934153733,0.016527296539194936,-0.06203142738098115
2018-06-26,25.638080596923828,25.95714012891547,25.57247918894711,25.802082410628422,30378600,25.14548110961914,61.269760688793895,0.05313700873449534,-0.03899774015788586
2018-06-27,25.909433364868164,26.088346006485235,25.50986327732912,25.61422870056618,30899100,25.22897300720215,64.22289480372947,0.10286065637327368,-0.010626060851653952
